max_depth,max_features,min_samples_split,n_estimators,oob_score
,sqrt,2,50,0.990625
,sqrt,2,100,0.9875
,sqrt,2,200,0.9875
,sqrt,5,50,0.9875
,sqrt,5,100,0.984375
,sqrt,5,200,0.9875
,log2,2,50,0.990625
,log2,2,100,0.9875
,log2,2,200,0.9875
,log2,5,50,0.9875
,log2,5,100,0.984375
,log2,5,200,0.9875
,0.5,2,50,0.984375
,0.5,2,100,0.9875
,0.5,2,200,0.9875
,0.5,5,50,0.984375
,0.5,5,100,0.9875
,0.5,5,200,0.984375
8,sqrt,2,50,0.9875
8,sqrt,2,100,0.990625
8,sqrt,2,200,0.9875
8,sqrt,5,50,0.9875
8,sqrt,5,100,0.984375
8,sqrt,5,200,0.990625
8,log2,2,50,0.9875
8,log2,2,100,0.990625
8,log2,2,200,0.9875
8,log2,5,50,0.9875
8,log2,5,100,0.984375
8,log2,5,200,0.990625
8,0.5,2,50,0.984375
8,0.5,2,100,0.9875
8,0.5,2,200,0.9875
8,0.5,5,50,0.984375
8,0.5,5,100,0.9875
8,0.5,5,200,0.984375
12,sqrt,2,50,0.990625
12,sqrt,2,100,0.9875
12,sqrt,2,200,0.9875
12,sqrt,5,50,0.9875
12,sqrt,5,100,0.984375
12,sqrt,5,200,0.9875
12,log2,2,50,0.990625
12,log2,2,100,0.9875
12,log2,2,200,0.9875
12,log2,5,50,0.9875
12,log2,5,100,0.984375
12,log2,5,200,0.9875
12,0.5,2,50,0.984375
12,0.5,2,100,0.9875
12,0.5,2,200,0.9875
12,0.5,5,50,0.984375
12,0.5,5,100,0.9875
12,0.5,5,200,0.984375
