user_id,primary_topic,secondary_topic
u01,machine_learning,recommenders
u02,natural_language,machine_learning
u03,databases,security
u04,computer_vision,machine_learning
u05,security,databases
u06,recommenders,natural_language
u07,databases,machine_learning
u08,computer_vision,natural_language
u09,security,recommenders
u10,natural_language,databases
u11,machine_learning,security
u12,recommenders,computer_vision
u13,natural_language,recommenders
u14,databases,recommenders
u15,computer_vision,security
u16,machine_learning,natural_language
u17,security,machine_learning
u18,computer_vision,recommenders
u19,databases,natural_language
u20,recommenders,security
u21,machine_learning,databases
u22,natural_language,security
u23,computer_vision,databases
u24,recommenders,machine_learning
