feature,custom_importance,sklearn_importance
worst radius,0.27868979870122934,0.2758036801577956
mean concave points,0.20683751738355624,0.19129893060641256
worst concave points,0.1722916619608304,0.12209880376491282
worst perimeter,0.14476467819813085,0.26553492351661645
worst area,0.04049053787728695,0.02551632037158809
mean texture,0.03120420655030154,0.026999962059735767
worst concavity,0.029672192629843604,0.020487153959136622
area error,0.0250195130741852,0.011780197065626405
worst smoothness,0.019420224272277374,0.007892129243277417
worst texture,0.01638179300645984,0.012942848719488696
concavity error,0.012157259707582512,0.005668547488975485
texture error,0.008740415154856932,0.004702601364943243
radius error,0.008477867568815902,0.005775839865191283
mean area,0.005122003759542589,0.007590359068065394
worst symmetry,0.000730330155100675,0.0006417856023954975
worst compactness,0.0,0.00029322334059244765
fractal dimension error,0.0,0.001422630410426656
mean radius,0.0,0.0
compactness error,0.0,0.000670383001459874
symmetry error,0.0,0.0
concave points error,0.0,0.0005363508191657938
smoothness error,0.0,0.0015977101248138893
perimeter error,0.0,0.0004355667520851535
mean fractal dimension,0.0,0.0
mean symmetry,0.0,0.0
mean concavity,0.0,0.00036307673877564937
mean compactness,0.0,0.008123469897433015
mean smoothness,0.0,0.0006002460716707115
mean perimeter,0.0,0.0012146651199455862
worst fractal dimension,0.0,8.59486946978514e-06
