feature,importance_mean,importance_std,importance_normalized,gini_importance
worst concave points,0.017896389324960786,0.003410606119686106,0.14143920595533538,0.1902107657691475
worst texture,0.016326530612244934,0.001985731654736834,0.12903225806451654,0.016497665513821272
mean texture,0.016012558869701765,0.0019354518062697106,0.12655086848635277,0.018963000265267742
worst area,0.012244897959183662,0.004212372956043585,0.09677419354838711,0.18980297295266677
texture error,0.00784929356357925,0.0010876300204514103,0.06203473945409413,0.005996857118865376
mean concave points,0.00690737833594974,0.002175260040902821,0.054590570719602834,0.075252527799639
mean area,0.00470957613814755,0.0007690705628832557,0.037220843672456476,0.008531802939481978
worst radius,0.00439560439560438,0.002877598552562527,0.034739454094292715,0.12768541503885586
worst compactness,0.00439560439560438,0.0,0.034739454094292715,0.01582666207818385
area error,0.00439560439560438,0.0016613822989416523,0.034739454094292715,0.010203074311181387
mean fractal dimension,0.00408163265306121,0.0018307541271099781,0.03225806451612895,0.004733704996437706
worst perimeter,0.00376766091051804,0.0015381411257665114,0.02977667493796518,0.22245618306977707
worst concavity,0.00345368916797487,0.0028431350512205292,0.027295285359801417,0.019586278471825796
mean radius,0.00345368916797487,0.0016009480419443538,0.027295285359801417,0.016449102055821046
concavity error,0.00251177394034536,0.0014041243186811816,0.01985111662531012,0.003343073921291215
mean smoothness,0.00251177394034536,0.0014041243186811818,0.01985111662531012,0.00773724561236784
radius error,0.00219780219780219,0.0011747746897249381,0.017369727047146358,0.006038122931863749
mean symmetry,0.00188383045525902,0.0007690705628832556,0.01488833746898259,0.0011773302756042082
symmetry error,0.00188383045525902,0.0007690705628832557,0.01488833746898259,0.0021125164214535687
mean perimeter,0.00188383045525902,0.0007690705628832556,0.01488833746898259,0.012255341061124754
perimeter error,0.00094191522762951,0.0010876300204514106,0.007444168734491295,0.003921941435842242
mean compactness,0.00094191522762951,0.0016009480419443536,0.007444168734491295,0.0025303861360084254
fractal dimension error,0.00094191522762951,0.0010876300204514106,0.007444168734491295,0.0036684326572545087
worst fractal dimension,0.00062794348508634,0.0009928658273684044,0.00496277915632753,0.0035966434069807716
concave points error,0.00031397174254317,0.0007690705628832557,0.002481389578163765,0.0030612049948195445
worst smoothness,0.0,0.0,0.0,0.0062652337914670545
worst symmetry,0.0,0.0,0.0,0.007074231469566514
compactness error,0.0,0.0,0.0,0.0030079641833027286
smoothness error,-0.00031397174254317,0.0007690705628832557,0.0,0.0019445528034362821
mean concavity,-0.00031397174254317,0.0014041243186811816,0.0,0.010069766516644239
