feature,custom_importance,sklearn_importance
worst concave points,0.12614818506252207,0.2375733018095178
worst perimeter,0.11142901077213717,0.2673275873144181
worst area,0.07173668328326455,0.026311552554723328
worst radius,0.06657200908477068,0.1752865024628427
mean concave points,0.06179060688861271,0.16105824741880384
worst texture,0.058868538934411276,0.04108298165135786
mean compactness,0.05551892480554141,0.0017961434790823285
area error,0.04575083433841648,0.012542595212054504
mean texture,0.04423087445018835,0.013520408935310311
worst smoothness,0.03832871182811554,0.0050547553183661435
worst compactness,0.03681280166321949,0.0023398142058477845
worst concavity,0.034853746403735314,0.0077482768877198275
worst symmetry,0.03426887184307279,0.001308276230074592
mean perimeter,0.03147215943438284,0.0057204586294733115
perimeter error,0.023912668970725533,0.003773320877001069
mean area,0.02214901887406071,0.004337902385540415
mean smoothness,0.021582225050991697,0.00042198526580418893
compactness error,0.019633913520395778,0.0008324394646569343
radius error,0.018758546652422232,0.0031619237872967574
smoothness error,0.015634640889183052,0.0015917967335989645
mean radius,0.014301519302661377,8.440695634086508e-05
mean concavity,0.010014103721066375,0.0011789860383784605
texture error,0.008709089346995167,0.011654721659442922
fractal dimension error,0.007802216079100372,0.007362741383599125
symmetry error,0.006570744214180691,0.0010076579779773488
worst fractal dimension,0.005764404759473041,0.0007873717268545552
concavity error,0.0036941661786138026,0.004817077293357768
mean symmetry,0.0014318034579249613,4.296932756079189e-05
mean fractal dimension,0.0012618670682277362,6.965695969441105e-06
concave points error,0.0009971131215865865,0.0002668313170280537
